class_id,class_name,precision,recall,AP50,AP50-95,GT_support
0,person,0.7564300374817439,0.5562679854234011,0.6405190767339043,0.361898566212814,1111
1,boat,0.8427991372630368,0.4615384615384615,0.5277227061131918,0.3161646970533666,26
2,animal,0.8133410535026083,0.6109271523178808,0.706367073462301,0.3996424198647597,604
3,seat,0.924539968186937,0.6640625,0.7246355390326322,0.5476825885904935,128
4,sign,0.7431892593182146,0.4966887417218543,0.5558843943373386,0.3669199409235038,151
5,bicycle,0.6072915062470343,0.4616263241337589,0.5144525471494779,0.2602068111955085,134
6,car,0.7931488159685601,0.8179487179487179,0.840608202396146,0.4464575320348965,390
7,ball,0.9916363867198478,0.5263157894736842,0.5367307060755337,0.3600583270101546,19
8,light,0.8840663906336969,0.7834224598930482,0.8252738435801249,0.4534124710317398,374
9,garbage can,0.8824193822726751,0.3951613946037359,0.4573320769975097,0.3212403480451556,57
10,uav,0.9136301903323848,0.7380952380952381,0.8070125032161529,0.4867635685641031,42
11,tricycle,0.6545025334039124,0.2,0.2006967158622524,0.159021805610956,5
